"Id","SWB","CSE","PANASpos","PANASneg","SJAS_hc","ND","RSE","PSS","NP"
1,33,39,39,15,2,5,48,93,24
2,33,59,48,27,8,6,45,95,29
3,29,54,44,24,7,5,43,89,103
4,21,36,30,17,2,6,45,74,19
5,25,48,41,18,6,6,47,93,20
6,23,51.4285714285714,30,25,4.44444444444444,6,28,91,18
7,25,46,33,21,3,8,38,87,26
8,25,60,43,18,6,9,38,90,227
9,31,43,43,17,4,6,43,88,63
10,17,51,31,26,1,7,42,87,24
11,21,51,49,17,1,8,46,96,31
12,22,48,35,25,4,8,38,85,13
13,24,57,41,22,2,6,35,86,27
14,20,51,35,25,1,8,39,81,22
15,26,52,35,20,0,6,38,82,13
16,16,53,39,34,5,7,32,81,78
17,31,44,33,19,2,5,46,86,20
18,21,53,35,24,9,7,39,89,49
19,28,55,28,24,5,7,31,85,46
20,33,54,42,16,2,6,45,94.9565217391304,55
21,18,50,31,28,1,5,37,78,14
22,18,56,32,30,6,3,32,83,9
23,27,65,37,21,4,7,36,93,30
24,25,45,41,19,1,8,42.2222222222222,80,37
25,26,68,39,23,2,7,37,93,56
26,16,57,23,15,1,6,28,77,24
27,25,39,28.8888888888889,17,1,8,43,89.7391304347826,24
28,32,64,38,26,2,7,33,88,21
29,18,39,28,27,0,6,36.6666666666667,71,15
30,29,47,34,19,3,8,40,89,73
31,21,41,30,13,3,6,34,87,27
32,24,43,37,15,5,8,41,87,33
33,22,47,33,11,5,8,44,80,40
34,28,51,33,15,0,5,37,72,19
35,29,30,42,16,1,7,50,80,34
36,21,54,37,17,0,7,43,74,21
37,24,48,34,14,4,7,43,92,28
38,27,55,40,24,5,7,37,77,49
39,23,45,39,19,5,5,35,91,21
40,25,67,25,10,6,6,39,90,42
41,19,63,26,34,1,6,30,70,24
42,17,69,29,28,1,3,34,94,8
43,20,51,34,22,0,6,37,88,77
44,27,30,40,13,2,4,50,92,47
45,25,32,44,21,3,5,46,91,21
46,17,58,33,17,2,5,36,86,21
47,19,59,32,27,5,6,33,79,21
48,21,47,35,22,0,4,35,82,7
49,10,47,30,14,2,6,36,83,17
50,15,68,31,27,0,6,29,79,22
51,29,46,37,25,4,7,47,91,30
52,24,50,37,17,2,5,37,89,25
53,19,55,27,18,5,5,28,81,17
54,13,57,22,23,6,4,31,67,5
55,18,39,35,15,2,7,36,76,16
56,27,58,46,22,6,5,47,96,17
57,25,45,33,18,0,6,41,82,17
58,33,48,37,21,1,6,39,87,29
59,29,44,36,12,1,5,49,93,26
60,20,54,33,23,2,5,35,89,17
61,23,50,31,22,2,6,40,92,45
62,28,37,34,23,0,5,42,80,30
63,25,46,44,34,4,6,43,78,24
64,26,58,28,18,3,3,38,74,16
65,26,54,33,19,7,8,42,88,28
66,23,57,42,18,1,7,39,93,25
67,31,46,41,23,7,6,46,93,18
68,10,60,35,26,2,4,21,81,12
69,35,57,43,17,6,6,49,90,77
70,28,47,47,25,1,8,47,95,65
71,29,61,41,20,3,7,42,95,102
72,20,40,36,24,3,5,45,81.3913043478261,24
73,26,53,32,28,0,5,40,87,19
74,28,47,33,19,0,5,47,86,15
75,25,50,31,27,4,4,33,58,12
76,23,46,46,22,4,8,48,93,22
77,32,39,41,22,3,4,46,90.7826086956522,13
78,18,50,40,19,2,8,41,86,24
79,26,30,33,25,2,5,47,79,14
80,22,61,43,26,8,6,44,95,27
81,27,52,39,20,6,5,37,87,24
82,20,56,45,13,7,5,45,94,21
83,24,51,33,23,0,7,36,85,28
84,27,47,37,28,6,7,46,76,43
85,31,49,47,13,3,5,48,86,14
86,13,53,40,16,6,3,38,61,7
87,15,60,27,32,3,6,33,75,79
88,28,50,37,23,6,5,44,81,8
89,18,60,35,16,6,7,44,84,32
90,17,47,32,26,5,7,42,90,22
91,29,46,37,20,3,5,47,89,13
92,31,50,40,12,4,5,42,73,26
93,22,54,48,18,4,7,45,86,32
94,25,55,37,24,5,5,39,73,15
95,21,35,36,13,6,7,47,89,27
96,28,49,37,15,6,5,49,88,23
97,32,51,43,22,8,3,41,86,12
98,20,48,31,22,3,4,41,71,8
99,17,33,38,22,7,3,39,72,4
100,20,52,35,21,0,7,34,77,20
101,20,49,45,30,5,8,34,85,53
102,32,54,35,15,2,5,47,91,16
103,30,55,42,19,5,5,42,93,21
104,26,49,34,14,0,3,40,69,9
105,24,51,36,27,6,4,32,68,12
106,28,52,42,16,4,7,44,93,35
107,30,60,31,28,1,4,41,90,11
108,17,51,31,21,1,6,41,94,22
109,30,53,41,27,2,4,44,91,11
110,24,51,34,31,0,7,32,85,37
111,29,48,34,32,4,7,35,85,23
112,28,46,32,12,1,5,42,82,20
113,18,55,32,20,3,6,29,80,30
114,29,48,35,18,0,6,42,86,59
115,29,45,42,16,6.66666666666667,7,45,89,31
116,23,45,41,20,6,1,43,66,1
117,20,46,41,28.8888888888889,3,6,40,91,13
118,16,51,34,30,0,6,27,83,28
119,16,47,36,23,1,6,41,80,14
120,25,45,36,15,0,7,46,92,30
121,28,50,37,20,3,5,36,86,11
122,31,45,40,18,5,6,50,90,30
123,25,57,38,15,2,5,46,84,19
124,23,55,40,22,7,7,48,87,44
125,19,54,33,24,3,7,30,89,20
126,34,64,34,15,5,8,42,93,97
127,22,65,20,23,0,4,31,92,10
128,31,54,35,28,4,6,43,83,30
129,23,43,28,18,4,8,43,96,34
130,29,49,34,20,1,5,40,77,24
131,25,44,34,13,3,5,45,84,18
132,20,68,40,24,10,6,44,87,15
133,21,53,30,26,5,6,37,85,39
134,26,43,29,26,0,6,40,90,12
135,29,51,37,20,3,6,43,87,30
136,26,48,39,21,5,6,38,85,16
137,27,66,32,20,3,6,29,95,15
138,20,41,33,12,4,6,34,74,27
139,23,45,37,16,2,5,38,90,17
140,30,40,41,16,4,5,44,91,17
141,26,46,35,14,5,9,45,89,67
142,18,52,30,20,5,6,33,76,25
143,24,47,27,33,1,5,32,76,17
144,30,39.6428571428571,40,14,4,8,46,91,46
145,26,56,36,27,0,4,35,85,12
146,33,55,46,19,4,8,47,93,56
147,31,35,40,17,4,4,45,95,8
148,7,28,31,10,0,3,34,50,6
149,20,49,38,18,2,10,44,78,46
150,25,36,40,21,1,4,47,92,19
151,29,54,47,22,1,6,50,89,22
152,21,41,34,21,1,8,37,70,37
153,27,52,47,14,5,7,50,93,34
154,28,45,40,19,3,5,44,89,40
155,30,56,41,27,9,7,39,80,75
156,19,47,35,16,1,6,38,84,44
157,21,41,37,25,3,5,39,86,12
158,20,51,36,21,6,6,29,73,19
159,16,50,38,32,5,6,41,94,59
